date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:58	849951/849951	---MCZ	200	added ('OK')	text/html	etag:W/%221086d423081c49780e96932cf2778a6d%22	https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/reserva-una-clase.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:05:59	651142/651142	---MCZ	200	added ('OK')	text/html	etag:W/%2250fc56619bfe1833695d377482588d61%22	https://raizafrancoa.wixsite.com/diversespanish/coming-soon-03	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/coming-soon-03.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:02	656640/656640	---MCZ	200	added ('OK')	text/html	etag:W/%22f2ac7031cb0dbbcf798ddad57bcbb78a%22	https://raizafrancoa.wixsite.com/diversespanish/terms-and-conditions	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/terms-and-conditions.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:03	129241/129241	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Apr%202025%2021:06:01%20GMT	https://static.wixstatic.com/media/9f1015_6e7e0604251f4696ba6848fbeebb9007~mv2.png/v1/fill/w_646,h_410,al_c,lg_1,q_85,enc_avif,quality_auto/Diverse%20Spanish%20logo%20final.png	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/9f1015_6e7e0604251f4696ba6848fbeebb9007_mv2.png/v1/fill/w_646,h_410,al_c,lg_1,q_85,enc_avif,quality_auto/Diverse%20Spanish%20logo%20final.png	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:03	3323/3323	---M-Z	200	added ('OK')	application/javascript	etag:%22ccf0e1db3811d44808d97a63c7a72d1f%22	https://browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/browser.sentry-cdn.com/7.120.3/modulemetadata.es5.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:03	131854/131854	---M-Z	200	added ('OK')	application/javascript	etag:%223dba122fff59f2079b3877b077a5c7c7%22	https://browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/browser.sentry-cdn.com/7.120.3/bundle.tracing.es5.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:03%20GMT	https://raizafrancoa.wixsite.com/api/	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/api/index.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:03%20GMT	https://raizafrancoa.wixsite.com/envelope/	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/envelope/index.html	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:04	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:04%20GMT	https://raizafrancoa.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/sitemap.e.delayed	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:05	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:05%20GMT	https://raizafrancoa.wixsite.com/feed.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/feed.f.delayed	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:05	128383/128383	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257220689e5bc158cf56fb7ac5dbe4871%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.ef6158d5.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.ef6158d5.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:06	261310/261310	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e07fc923669b1a8eb6a94aeebe9b1736%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.f3eaf4a1.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/wix-thunderbolt/dist/main.f3eaf4a1.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:06	152/152	---M--	200	added ('OK')	application/javascript	etag:%2217dc6142a5674dc31c4e4ac8ab3502fc%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:06	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:06	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:06	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:07	5943/5943	---M-Z	200	added ('OK')	application/javascript	etag:W/%2217261684e539753369be14d859077377%22	https://static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/wix-thunderbolt/dist/browser-deprecation.bundle.es5.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:08	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:07%20GMT	https://raizafrancoa.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/decodeURIComponent(e.17.delayed	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:08	9582/9582	---M-Z	200	added ('OK')	application/javascript	etag:W/%226f1af620740f6e8d6851e2794ba694d0%22	https://static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/tag-manager-client/1.920.0/siteTags.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish)
18:06:09	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:09%20GMT	https://raizafrancoa.wixsite.com/diversespanish/i	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/i.19.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:10	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:09%20GMT	https://raizafrancoa.wixsite.com/diversespanish/t	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/t.1a.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:12	689955/689955	---MCZ	200	added ('OK')	text/html	etag:W/%228389133f0f1b5932b247194333518a51%22	https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/acerca-de.html	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:17	850827/850827	---MCZ	200	added ('OK')	text/html	etag:W/%22afd4a70b4eef54468b74a7bda514baa0%22	https://raizafrancoa.wixsite.com/diversespanish/es/reserva-una-clase	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/reserva-una-clase.html	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:18	651202/651202	---MCZ	200	added ('OK')	text/html	etag:W/%2265be03fae7a650f489b876f867c0d6e0%22	https://raizafrancoa.wixsite.com/diversespanish/es/coming-soon-03	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/coming-soon-03.html	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:20	656700/656700	---MCZ	200	added ('OK')	text/html	etag:W/%2290e003941062bf36694bd68582b39420%22	https://raizafrancoa.wixsite.com/diversespanish/es/terms-and-conditions	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/terms-and-conditions.html	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:21	2507/2507	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Apr%202025%2021:06:20%20GMT	https://raizafrancoa.wixsite.com/diversespanish/robots.txt	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/robots.1f.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:22	837131/837131	---MCZ	200	added ('OK')	text/html	etag:W/%2248e912d679341ea8cc89e9c7447473de%22	https://raizafrancoa.wixsite.com/diversespanish/	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/index.html	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:22	406/406	---M--	200	added ('OK')	text/xml	etag:W/%22196-AZiRrK/5L8jVFdzP8XBdnAIX0lk%22	https://raizafrancoa.wixsite.com/diversespanish/sitemap.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/sitemap.xml	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:23	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:22%20GMT	https://raizafrancoa.wixsite.com/diversespanish/feed.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/feed.21.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:23	2507/2507	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Apr%202025%2021:06:23%20GMT	https://raizafrancoa.wixsite.com/diversespanish/decodeURIComponent(e	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/decodeURIComponent(e.22.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es)
18:06:26	163925/163925	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Apr%202025%2021:06:24%20GMT	https://static.wixstatic.com/media/9f1015_6e7e0604251f4696ba6848fbeebb9007~mv2.png/v1/crop/x_35,y_0,w_553,h_404/fill/w_653,h_477,al_c,lg_1,q_85,enc_avif,quality_auto/Diverse%20Spanish%20logo%20final.png	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/9f1015_6e7e0604251f4696ba6848fbeebb9007_mv2.png/v1/crop/x_35,y_0,w_553,h_404/fill/w_653,h_477,al_c,lg_1,q_85,enc_avif,quality_auto/Diverse%20Spanish%20logo%20final.png	(from https://raizafrancoa.wixsite.com/diversespanish/acerca-de)
18:06:26	4160/4160	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Apr%202025%2021:06:26%20GMT	https://static.wixstatic.com/media/9f1015_3e75ac635bf14fe6a5e00e228cb0fbf0~mv2.png/v1/fill/w_50,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/9f1015_3e75ac635bf14fe6a5e00e228cb0fbf0~mv2.png	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/9f1015_3e75ac635bf14fe6a5e00e228cb0fbf0_mv2.png/v1/fill/w_50,h_28,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/9f1015_3e75ac635bf14fe6a5e00e228cb0fbf0_mv2.png	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:28	1084/1084	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Apr%202025%2021:06:28%20GMT	https://static.wixstatic.com/media/11062b_e4a2bf5e9ad4433697076036c924b831~mv2.jpg/v1/fit/w_50,h_50,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_e4a2bf5e9ad4433697076036c924b831~mv2.jpg	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/11062b_e4a2bf5e9ad4433697076036c924b831_mv2.jpg/v1/fit/w_50,h_50,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_e4a2bf5e9ad4433697076036c924b831_mv2.jpg	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:29	832055/832055	---MCZ	200	added ('OK')	text/html	etag:W/%22df1233233028702bf184cdf5eda33cc6%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn.html	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:31	831610/831610	---MCZ	200	added ('OK')	text/html	etag:W/%2224c059925de3118bfda7ef8de183ccac%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/conversation-practice-1	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/conversation-practice-1.html	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:31	1103/1103	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Apr%202025%2021:06:30%20GMT	https://static.wixstatic.com/media/11062b_4bad9ff2e10e40ddb81899d950a3fdbd~mv2.jpg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_4bad9ff2e10e40ddb81899d950a3fdbd~mv2.jpg	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/11062b_4bad9ff2e10e40ddb81899d950a3fdbd_mv2.jpg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_4bad9ff2e10e40ddb81899d950a3fdbd_mv2.jpg	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:33	1182/1182	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Apr%202025%2021:06:32%20GMT	https://static.wixstatic.com/media/11062b_025875b5e6874edea6a61c75ce2ebcad~mv2.jpg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_025875b5e6874edea6a61c75ce2ebcad~mv2.jpg	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/11062b_025875b5e6874edea6a61c75ce2ebcad_mv2.jpg/v1/fill/w_50,h_33,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/11062b_025875b5e6874edea6a61c75ce2ebcad_mv2.jpg	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:34	832135/832135	---MCZ	200	added ('OK')	text/html	etag:W/%22332959992502e94b397ded4a69877c48%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/spanish-at-your-pace	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/spanish-at-your-pace.html	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:36	832246/832246	---MCZ	200	added ('OK')	text/html	etag:W/%22c02f9795e9a77024c3bd91a13d03f91c%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/spanish-for-your-profession	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/spanish-for-your-profession.html	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:36	1284/1284	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Apr%202025%2021:06:35%20GMT	https://static.wixstatic.com/media/9f1015_914fd79c9b5e4d3a9cc5972915cad5cd~mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/9f1015_914fd79c9b5e4d3a9cc5972915cad5cd~mv2.jpeg	C:/My%20Web%20Sites/Diverse%20Spanish/static.wixstatic.com/media/9f1015_914fd79c9b5e4d3a9cc5972915cad5cd_mv2.jpeg/v1/fill/w_50,h_50,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/9f1015_914fd79c9b5e4d3a9cc5972915cad5cd_mv2.jpg	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:39	377920/377920	---M-Z	200	added ('OK')	application/javascript	etag:W/%2212ba8a6ba4394650cee6a7252e79d94d%22	https://static.parastorage.com/services/bookings-service-list-widget/1.1573.0/BookOnlineViewerWidgetNoCss.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/bookings-service-list-widget/1.1573.0/BookOnlineViewerWidgetNoCss.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:42	831927/831927	---MCZ	200	added ('OK')	text/html	etag:W/%22a03ae9546d268c883b8c386dd6cca19e%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/fully-customized-spanish	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/fully-customized-spanish.html	(from https://raizafrancoa.wixsite.com/diversespanish/reserva-una-clase)
18:06:43	2511/2511	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:42%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/i	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/i.2f.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:43	2511/2511	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:43%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/t	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/t.30.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:44	2507/2507	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Apr%202025%2021:06:44%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/robots.txt	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/robots.31.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:45%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/sitemap.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/sitemap.32.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:46	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:06:45%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/feed.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/feed.33.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:47	2507/2507	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2005%20Apr%202025%2021:06:46%20GMT	https://raizafrancoa.wixsite.com/diversespanish/es/decodeURIComponent(e	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/decodeURIComponent(e.34.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/es/acerca-de)
18:06:55	826060/826060	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b5ce7d2c59f404378d32c724aa6a0329%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/i	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/i.35.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:06:58	825875/825875	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b855b7a3408b772df50a536b786bb381%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/t	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/t.36.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:00	832233/832233	---MCZ	200	added ('OK')	text/html	etag:W/%22ce07b4290151a0630331e62c0a0fbd7c%22	https://raizafrancoa.wixsite.com/diversespanish/es/service-page/trial-discover-your-best-way-to-learn	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/service-page/trial-discover-your-best-way-to-learn.html	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:02	826493/826493	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%229cfa2048b7b9000dfec901c560a10a8c%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/robots.txt	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/robots.38.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:03	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:07:02%20GMT	https://raizafrancoa.wixsite.com/diversespanish/service-page/sitemap.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/sitemap.39.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:03	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Apr%202025%2021:07:03%20GMT	https://raizafrancoa.wixsite.com/diversespanish/service-page/feed.xml	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/feed.3a.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:03	438526/438526	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fe20ffd523d434edf442f7e013e37cff%22	https://static.parastorage.com/services/bookings-service-details-widget/1.2879.0/BookingServicePageViewerWidgetNoCss.bundle.min.js	C:/My%20Web%20Sites/Diverse%20Spanish/static.parastorage.com/services/bookings-service-details-widget/1.2879.0/BookingServicePageViewerWidgetNoCss.bundle.min.js	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:06	826419/826419	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22811a6b8a36370047da6cece283de89b5%22	https://raizafrancoa.wixsite.com/diversespanish/service-page/decodeURIComponent(e	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/service-page/decodeURIComponent(e.3c.delayed	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/trial-discover-your-best-way-to-learn)
18:07:10	831637/831637	---MCZ	200	added ('OK')	text/html	etag:W/%225eae3b17a7dd23e9729ae5250fa78515%22	https://raizafrancoa.wixsite.com/diversespanish/es/service-page/conversation-practice-1	C:/My%20Web%20Sites/Diverse%20Spanish/raizafrancoa.wixsite.com/diversespanish/es/service-page/conversation-practice-1.html	(from https://raizafrancoa.wixsite.com/diversespanish/service-page/conversation-practice-1)
